# 12 month-opener 節氣 instants, JPL DE440s via Skyfield (tools/generate_solar_terms.py). year = KST calendar year.
year,term,utc
1948,小暑,1948-07-07T05:43:16Z
1948,立秋,1948-08-07T15:26:05Z
1948,白露,1948-09-07T18:04:45Z
1948,寒露,1948-10-08T09:20:01Z
1948,立冬,1948-11-07T12:06:18Z
1948,大雪,1948-12-07T04:37:24Z
1949,小寒,1949-01-05T15:40:55Z
1949,立春,1949-02-04T03:22:37Z
1949,驚蟄,1949-03-05T21:39:03Z
1949,淸明,1949-04-05T02:51:43Z
1949,立夏,1949-05-05T20:36:21Z
1949,芒種,1949-06-06T01:06:35Z
1949,小暑,1949-07-07T11:31:21Z
1949,立秋,1949-08-07T21:14:43Z
1949,白露,1949-09-07T23:53:56Z
1949,寒露,1949-10-08T15:10:48Z
1949,立冬,1949-11-07T17:59:33Z
1949,大雪,1949-12-07T10:33:11Z
1950,小寒,1950-01-05T21:38:29Z
1950,立春,1950-02-04T09:20:32Z
1950,驚蟄,1950-03-06T03:35:13Z
1950,淸明,1950-04-05T08:44:13Z
1950,立夏,1950-05-06T02:24:26Z
1950,芒種,1950-06-06T06:50:46Z
1950,小暑,1950-07-07T17:13:04Z
